SUID	Adduct	charge	cluster index	Compound_Name	Compound_Source	Data_Collector	GNPSLibraryURL	GNPSLinkout_Cluster	INCHI	Instrument	Ion_Source	IonMode	Library_Class	MassDiff	MQScore	MZErrorPPM	name	number of spectra	PI	RTConsensus	RTMean	shared name	SharedPeaks	Smiles	SpectrumID	sum(precursor intensity)
401	EI	0	18	Trifluoromethyl butyl disulfide	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000958187	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""18.0"""",""""main.cluster index_upperinput"""":""""18.0""""}"""	"InChI=1S/C5H9F3S2/c1-2-3-4-9-10-5(6,7)8/h2-4H2,1H3"	EI	EI	EI	3	190.01	0.525245	1.00E+06	18	123	NIST	3.74	3.74	18	6	CCCCSSC(F)(F)F	CCMSLIB00000958187	2409960.571
400	EI	0	19	"1-Ethanone, 1-[5-methyl-1-[4-(5-methyl-1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazol-3-yl]-1H-1,2,3-triazol-4-yl]-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000977340	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""19.0"""",""""main.cluster index_upperinput"""":""""19.0""""}"""	InChI=1S/C10H9N7O3/c1-4-7(5(2)18)12-16-17(4)10-8(13-20-15-10)9-11-6(3)19-14-9/h1-3H3	EI	EI	EI	3	275.077	0.817712	1.00E+06	19	163	NIST	3.74	3.74	19	6	CC1=C(N=NN1C2=NON=C2C3=NOC(=N3)C)C(=O)C	CCMSLIB00000977340	1575594.405
265	EI	0	20	4-tert-butylmethamphetamine	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000957142	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""20.0"""",""""main.cluster index_upperinput"""":""""20.0""""}"""	"InChI=1S/C14H23N/c1-11(15-5)10-12-6-8-13(9-7-12)14(2,3)4/h6-9,11,15H,10H2,1-5H3"	EI	EI	EI	3	205.183	0.754474	1.00E+06	20	162	NIST	3.82	3.82	20	6	CC(CC1=CC=C(C=C1)C(C)(C)C)NC	CCMSLIB00000957142	1742963.332
536		0	21					"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""21.0"""",""""main.cluster index_upperinput"""":""""21.0""""}"""									21	14		3.82	3.82	21				1184237.849
267	EI	0	22	"2,4,6,8,9-Pentathiaadamantane, 1,3,5,7,10-pentamethyl-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000955564	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""22.0"""",""""main.cluster index_upperinput"""":""""22.0""""}"""	"InChI=1S/C10H16S5/c1-6-7(2)11-9(4)13-8(6,3)14-10(5,12-7)15-9/h6H,1-5H3"	EI	EI	EI	3	295.986	0.614708	1.00E+06	22	156	NIST	3.82	3.82	22	6	CC1C2(SC3(SC1(SC(S2)(S3)C)C)C)C	CCMSLIB00000955564	995377.1683
268	EI	0	23	"Butanoic acid, 2,2-dimethyl-3-[(trimethylsilyl)oxy]-, trimethylsilyl ester"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000943189	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""23.0"""",""""main.cluster index_upperinput"""":""""23.0""""}"""	"InChI=1S/C12H28O3Si2/c1-10(14-16(4,5)6)12(2,3)11(13)15-17(7,8)9/h10H,1-9H3"	EI	EI	EI	3	276.158	0.925185	1.00E+06	23	157	NIST	3.89	3.89	23	8	CC(C(C)(C)C(=O)O[Si](C)(C)C)O[Si](C)(C)C	CCMSLIB00000943189	7514300.104
261	EI	0	24	"Butanal, 4-[(tetrahydro-2H-pyran-2-yl)oxy]-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000947196	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""24.0"""",""""main.cluster index_upperinput"""":""""24.0""""}"""	"InChI=1S/C9H16O3/c10-6-2-4-8-12-9-5-1-3-7-11-9/h6,9H,1-5,7-8H2"	EI	EI	EI	3	172.11	0.57089	1.00E+06	24	73	NIST	3.89	3.89	24	6	C1CCOC(C1)OCCCC=O	CCMSLIB00000947196	6463488.261
262	EI	0	25	"1,5-Undecadiene, 6,7,7,8,8,9,9,10,10,11,11,11-dodecafluoro-3-methyl-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000967882	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""25.0"""",""""main.cluster index_upperinput"""":""""25.0""""}"""	"InChI=1S/C12H10F12/c1-3-6(2)4-5-7(13)8(14,15)9(16,17)10(18,19)11(20,21)12(22,23)24/h3,5-6H,1,4H2,2H3/b7-5-"	EI	EI	EI	3	382.059	0.68972	1.00E+06	25	70	NIST	3.89	3.89	25	7	CC(C/C=C(/C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)\F)C=C	CCMSLIB00000967882	4040561.763
263	EI	0	26	"D-2-Aminobutyric acid, TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000957563	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""26.0"""",""""main.cluster index_upperinput"""":""""26.0""""}"""	"InChI=1S/C7H17NO2Si/c1-5-6(8)7(9)10-11(2,3)4/h6H,5,8H2,1-4H3"	EI	EI	EI	3	175.103	0.866643	1.00E+06	26	92	NIST	3.89	3.89	26	6	CCC(C(=O)O[Si](C)(C)C)N	CCMSLIB00000957563	3480285.558
264	EI	0	27	"Catechol, 2TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000942605	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""27.0"""",""""main.cluster index_upperinput"""":""""27.0""""}"""	"InChI=1S/C12H22O2Si2/c1-15(2,3)13-11-9-7-8-10-12(11)14-16(4,5)6/h7-10H,1-6H3"	EI	EI	EI	3	254.116	0.799933	1.00E+06	27	164	NIST	3.97	3.97	27	6	C[Si](C)(C)OC1=CC=CC=C1O[Si](C)(C)C	CCMSLIB00000942605	2.36E+07
269	EI	0	28	"Benzisoxazole-2-acetic acid, hydrazide"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000983099	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""28.0"""",""""main.cluster index_upperinput"""":""""28.0""""}"""	"InChI=1S/C9H9N3O2/c10-12-8(13)5-9-11-6-3-1-2-4-7(6)14-9/h1-4H,5,10H2,(H,12,13)"	EI	EI	EI	3	191.069	0.603778	1.00E+06	28	152	NIST	3.97	3.97	28	6	C1=CC=C2C(=C1)N=C(O2)CC(=O)NN	CCMSLIB00000983099	2941778.035
154	EI	0	30	"Acetic acid, [2-methoxy-4-(4-methyl-3-nitrophenyliminomethyl)]phenyl ester"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000971402	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""30.0"""",""""main.cluster index_upperinput"""":""""30.0""""}"""		EI	EI	EI	3	328.106	0.779781	1.00E+06	30	64	NIST	4.06	4.06	30	6		CCMSLIB00000971402	1.73E+07
152	EI	0	33	"Butanoic acid, 2-ethyl-, 1,2,3-propanetriyl ester"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000928619	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""33.0"""",""""main.cluster index_upperinput"""":""""33.0""""}"""	"InChI=1S/C21H38O6/c1-7-15(8-2)19(22)25-13-18(27-21(24)17(11-5)12-6)14-26-20(23)16(9-3)10-4/h15-18H,7-14H2,1-6H3"	EI	EI	EI	3	386.267	0.511985	1.00E+06	33	133	NIST	4.13	4.13	33	6	CCC(CC)C(=O)OCC(COC(=O)C(CC)CC)OC(=O)C(CC)CC	CCMSLIB00000928619	7495168.127
157	EI	0	35	3-Dimethyl(prop-2-enyl)silyloxypentadecane	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000941960	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""35.0"""",""""main.cluster index_upperinput"""":""""35.0""""}"""	"InChI=1S/C20H42OSi/c1-6-9-10-11-12-13-14-15-16-17-18-20(8-3)21-22(4,5)19-7-2/h7,20H,2,6,8-19H2,1,3-5H3"	EI	EI	EI	3	326.301	0.724675	1.00E+06	35	159	NIST	4.21	4.21	35	6	CCCCCCCCCCCCC(CC)O[Si](C)(C)CC=C	CCMSLIB00000941960	759049.3486
156	EI	0	36	"D-(-)-Lactic acid, 2TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000990328	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""36.0"""",""""main.cluster index_upperinput"""":""""36.0""""}"""	"InChI=1S/C9H22O3Si2/c1-8(11-13(2,3)4)9(10)12-14(5,6)7/h8H,1-7H3"	EI	EI	EI	3	234.111	0.953069	1.00E+06	36	174	NIST	4.35	4.35	36	11	CC(C(=O)O[Si](C)(C)C)O[Si](C)(C)C	CCMSLIB00000990328	2.18E+09
155		0	37					"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""37.0"""",""""main.cluster index_upperinput"""":""""37.0""""}"""									37	115		4.44	4.44	37				3.66E+07
149	EI	0	38	"1,2-Ethanediol, 1,2-di(1H-1,3-benzimidazol-2-yl)-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00001049217	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""38.0"""",""""main.cluster index_upperinput"""":""""38.0""""}"""	"InChI=1S/C16H14N4O2/c21-13(15-17-9-5-1-2-6-10(9)18-15)14(22)16-19-11-7-3-4-8-12(11)20-16/h1-8,13-14,21-22H,(H,17,18)(H,19,20)"	EI	EI	EI	3	294.112	0.586129	1.00E+06	38	162	NIST	4.44	4.44	38	6	C1=CC=C2C(=C1)NC(=N2)C(C(C3=NC4=CC=CC=C4N3)O)O	CCMSLIB00001049217	2.19E+07
829	EI	0	41	"Ethylene glycol, TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000940281	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""41.0"""",""""main.cluster index_upperinput"""":""""41.0""""}"""	"InChI=1S/C5H14O2Si/c1-8(2,3)7-5-4-6/h6H,4-5H2,1-3H3"	EI	EI	EI	3	134.076	0.891347	1.00E+06	41	161	NIST	4.67	4.67	41	6	C[Si](C)(C)OCCO	CCMSLIB00000940281	4.43E+07
827		0	42					"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""42.0"""",""""main.cluster index_upperinput"""":""""42.0""""}"""									42	141		4.67	4.67	42				2.50E+07
828	EI	0	43	"Benzenepropanal, 4-(1,1-dimethylethyl)-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00001034580	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""43.0"""",""""main.cluster index_upperinput"""":""""43.0""""}"""	"InChI=1S/C13H18O/c1-13(2,3)12-8-6-11(7-9-12)5-4-10-14/h6-10H,4-5H2,1-3H3"	EI	EI	EI	3	190.136	0.765848	1.00E+06	43	159	NIST	4.67	4.67	43	6	CC(C)(C)C1=CC=C(C=C1)CCC=O	CCMSLIB00001034580	2.09E+07
825	EI	0	44	"Carbonic acid, bis(1-methylethyl) ester"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000979817	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""44.0"""",""""main.cluster index_upperinput"""":""""44.0""""}"""	"InChI=1S/C7H14O3/c1-5(2)9-7(8)10-6(3)4/h5-6H,1-4H3"	EI	EI	EI	3	146.094	0.85517	1.00E+06	44	159	NIST	4.77	4.77	44	6	CC(C)OC(=O)OC(C)C	CCMSLIB00000979817	2547622.04
826	EI	0	45	Phenylephrine	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000970462	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""45.0"""",""""main.cluster index_upperinput"""":""""45.0""""}"""	"InChI=1S/C9H13NO2/c1-10-6-9(12)7-3-2-4-8(11)5-7/h2-5,9-12H,6H2,1H3/t9-/m0/s1"	EI	EI	EI	3	167.095	0.868393	1.00E+06	45	160	NIST	4.77	4.77	45	6	CNC[C@@H](C1=CC(=CC=C1)O)O	CCMSLIB00000970462	1542165.478
823	EI	0	46	"4H-Pyran-4-one 2,6-dimethyl-3,5-bis[phenylthio]-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000971747	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""46.0"""",""""main.cluster index_upperinput"""":""""46.0""""}"""	"InChI=1S/C19H16O2S2/c1-13-18(22-15-9-5-3-6-10-15)17(20)19(14(2)21-13)23-16-11-7-4-8-12-16/h3-12H,1-2H3"	EI	EI	EI	3	340.059	0.590412	1.00E+06	46	41	NIST	4.82	4.82	46	6	CC1=C(C(=O)C(=C(O1)C)SC2=CC=CC=C2)SC3=CC=CC=C3	CCMSLIB00000971747	5274176.377
639	EI	0	47	"N-{2H-Spiro[1-benzofuran-3,2'-[1,3]dioxolane]-5-yl}acetamide"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000979546	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""47.0"""",""""main.cluster index_upperinput"""":""""47.0""""}"""	"InChI=1S/C12H13NO4/c1-8(14)13-9-2-3-11-10(6-9)12(7-15-11)16-4-5-17-12/h2-3,6H,4-5,7H2,1H3,(H,13,14)"	EI	EI	EI	3	235.084	0.602346	1.00E+06	47	114	NIST	4.82	4.82	47	6	CC(=O)NC1=CC2=C(C=C1)OCC23OCCO3	CCMSLIB00000979546	3244133.094
821	EI	0	48	"1-Aminoethylphosphonate, 2TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000969496	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""48.0"""",""""main.cluster index_upperinput"""":""""48.0""""}"""	"InChI=1S/C8H24NO3PSi2/c1-8(9)13(10,11-14(2,3)4)12-15(5,6)7/h8H,9H2,1-7H3"	EI	EI	EI	3	269.103	0.557981	1.00E+06	48	127	NIST	4.82	4.82	48	6	CC(N)P(=O)(O[Si](C)(C)C)O[Si](C)(C)C	CCMSLIB00000969496	3197924.03
822	EI	0	49	"1-(2-Ethyl-[1,3]dithian-2-yl)-3-methyl-butan-1-ol"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000990354	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""49.0"""",""""main.cluster index_upperinput"""":""""49.0""""}"""	"InChI=1S/C11H22OS2/c1-4-11(10(12)8-9(2)3)13-6-5-7-14-11/h9-10,12H,4-8H2,1-3H3"	EI	EI	EI	3	234.111	0.807248	1.00E+06	49	152	NIST	4.92	4.92	49	6	CCC1(SCCCS1)C(CC(C)C)O	CCMSLIB00000990354	1733494.593
