sample_name	diet	digestive_strategy	HostSpecies	HostOrder	HostSpecies_taxonomy	Order_diet	Collected_by	Day	Month	Year	Type	File_polar	Polar_order	File_lipids_neg	File_lipids_pos	Lipids_order	File_VFA	VFA_order	File_GCMS	GCMS_order	File_polar.1	Sex	collection_time
Brown_bear_3	Omnivores	Simplegut	Brown_bear	Carnivora	Ursus_arctos	Carnivora_Omnivores	Ruthie	1	12	2016	Feces	Sample-2E6.mzXML	83	lipids-230718-neg-30.mzXML	lipids-230718-pos-30.mzXML	51	12_27_2018-inj-129	129	2019-01-15-inj-59.mzML	59	Sample-2E6	F	Delayed
Brown_bear_4	Omnivores	Simplegut	Brown_bear	Carnivora	Ursus_arctos	Carnivora_Omnivores	Ruthie	1	12	2016	Feces	Sample-1A7.mzXML	4	lipids-230718-neg-41.mzXML	lipids-230718-pos-41.mzXML	10	12_25_2018-inj-9	9	2019-01-13-inj-9.mzML	9	Sample-1A7	F	Delayed
Brown_bear_5	Omnivores	Simplegut	Brown_bear	Carnivora	Ursus_arctos	Carnivora_Omnivores	Ruthie	1	12	2016	Feces	Sample-1D3.mzXML	24	lipids-230718-neg-32.mzXML	lipids-230718-pos-32.mzXML	74	12_27_2018-inj-108	108	2019-01-15-inj-79.mzML	79	Sample-1D3	F	Delayed
Capuchin_1	Omnivores	Simplegut	Capuchin	Primates	Cebus_nigrivittatus	Primates_Omnivores	Ruthie	28	12	2016	Feces	Sample-X-81.mzXML	98	17-lipids-120918-neg-redo-44.mzXML	18-lipids-120918-pos-redo-44.mzXML	143	12_26_2018-inj-78	78	2019-01-21-inj-129.mzML	129	Sample-X-81	M	Delayed
Chimpanzee_1	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ishay	27	12	2016	Feces	Sample-2B3.mzXML	56	lipids-230718-neg-62.mzXML	lipids-230718-pos-62.mzXML	76	12_27_2018-inj-111	111	2019-01-16-inj-86.mzML	86	Sample-2B3	F	Delayed
Chimpanzee_10	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ruthie	18	1	2017	Feces	Sample-2D8.mzXML	77	lipids-230718-neg-68.mzXML	lipids-230718-pos-68.mzXML	87	12_26_2018-inj-67	67	2019-01-17-inj-111.mzML	111	Sample-2D8	M	0-2hr
Chimpanzee_11	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ruthie	18	1	2017	Feces	Sample-X-76.mzXML	97	lipids-230718-neg-69.mzXML	lipids-230718-pos-69.mzXML	103	12_26_2018-inj-101	101	2019-01-21-inj-142.mzML	142	Sample-X-76	F	0-2hr
Chimpanzee_12	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ruthie	25	1	2017	Feces	Sample-1C5.mzXML	18	lipids-230718-neg-70.mzXML	lipids-230718-pos-70.mzXML	55	12_27_2018-inj-133	133	2019-01-17-inj-103.mzML	103	Sample-1C5	F	0-2hr
Chimpanzee_13	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ishay	24	1	2017	Feces	Sample-1F1.mzXML	38	lipids-230718-neg-71.mzXML	lipids-230718-pos-71.mzXML	13	12_25_2018-inj-13	13	2019-01-13-inj-13.mzML	13	Sample-1F1	F	0-2hr
Chimpanzee_4	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ishay	17	1	2016	Feces	Sample-2D7.mzXML	76	lipids-230718-neg-63.mzXML	lipids-230718-pos-63.mzXML	90	12_26_2018-inj-57	57	2019-01-14-inj-49.mzML	49	Sample-2D7	M	Delayed
Chimpanzee_5	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ishay	17	1	2016	Feces	Sample-X-70.mzXML	96	lipids-230718-neg-64.mzXML	lipids-230718-pos-64.mzXML	115	12_26_2018-inj-80	80	2019-01-21-inj-131.mzML	131	Sample-X-70	F	Delayed
Chimpanzee_6	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ishay	17	1	2016	Feces	Sample-1C4.mzXML	17	lipids-230718-neg-65.mzXML	lipids-230718-pos-65.mzXML	24	12_26_2018-inj-25	25	2019-01-13-inj-24.mzML	24	Sample-1C4	F	Delayed
Chimpanzee_7	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ishay	17	1	2016	Feces	Sample-1E8.mzXML	37	lipids-230718-neg-66.mzXML	lipids-230718-pos-66.mzXML	65	12_27_2018-inj-123	123	2019-01-15-inj-72.mzML	72	Sample-1E8	F	Delayed
Chimpanzee_9	Omnivores	Simplegut	Chimp	Primates	Pan_troglodytes	Primates_Omnivores	Ruthie	18	1	2017	Feces	Sample-2B4.mzXML	57	lipids-230718-neg-67.mzXML	lipids-230718-pos-67.mzXML	38	12_26_2018-inj-37	37	2019-01-14-inj-38.mzML	38	Sample-2B4	F	0-2hr
Coati_1	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Stav+Ishay	22	11	2016	Feces	Sample-1B2.mzXML	7	lipids-230718-neg-33.mzXML	lipids-230718-pos-33.mzXML	45	12_26_2018-inj-54	54	2019-01-28-inj-209.mzML	209	Sample-1B2	M	Delayed
Coati_3	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Stav+Ishay	22	11	2016	Feces	Sample-1D6.mzXML	27	lipids-230718-neg-34.mzXML	lipids-230718-pos-34.mzXML	112	12_26_2018-inj-77	77	2019-01-21-inj-128.mzML	128	Sample-1D6	M	Delayed
Coati_4	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Stav+Ishay	22	11	2016	Feces	Sample-2A2.mzXML	47	lipids-230718-neg-35.mzXML	lipids-230718-pos-35.mzXML	21	12_26_2018-inj-22	22	2019-01-13-inj-21.mzML	21	Sample-2A2	F	Delayed
Coati_5	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Stav+Ishay	22	11	2016	Feces	Sample-2C6.mzXML	67	lipids-230718-neg-36.mzXML	lipids-230718-pos-36.mzXML	62	12_27_2018-inj-120	120	2019-01-15-inj-68.mzML	68	Sample-2C6	F	0-2hr
Coati_6	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Stav+Ishay	22	11	2016	Feces	Sample-2F2.mzXML	87	lipids-230718-neg-37.mzXML	lipids-230718-pos-37.mzXML	35	12_26_2018-inj-34	34	2019-01-14-inj-35.mzML	35	Sample-2F2	F	0-2hr
Coati_7	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Stav+Ishay	22	11	2016	Feces	Sample-1B3.mzXML	8	lipids-230718-neg-38.mzXML	lipids-230718-pos-38.mzXML	84	12_26_2018-inj-64	64	2019-01-17-inj-108.mzML	108	Sample-1B3	F	0-2hr
Coati_8	Omnivores	Simplegut	Coati	Carnivora	Nasua_nasua	Carnivora_Omnivores	Ruthie	1	12	2016	Feces	Sample-1D7.mzXML	28	lipids-230718-neg-39.mzXML	lipids-230718-pos-39.mzXML	100	12_26_2018-inj-98	98	2019-01-21-inj-139.mzML	139	Sample-1D7	F	Delayed
Donkey_1	Herbivores	Hindgut	Donkey	Perissodactyla	Equus_asinus	Perissodactyla_Herbivores	Stav+Elie	11	9	2016	Feces	Sample-1D1.mzXML	22	lipids-230718-neg-7.mzXML	lipids-230718-pos-7.mzXML	32	12_26_2018-inj-31	31	2019-01-14-inj-32.mzML	32	Sample-1D1	M	Delayed
Gibbon_1	Omnivores	Simplegut	Gibbon	Primates	Hylobates_lar	Primates_Omnivores	Ishay	10	1	2017	Feces	Sample-1B4.mzXML	9	lipids-230718-neg-45.mzXML	lipids-230718-pos-45.mzXML	22	12_26_2018-inj-23	23	2019-01-13-inj-22.mzML	22	Sample-1B4	F	Delayed
Gibbon_2	Omnivores	Simplegut	Gibbon	Primates	Hylobates_lar	Primates_Omnivores	Ruthie	11	1	2017	Feces	Sample-1D8.mzXML	29	lipids-230718-neg-46.mzXML	lipids-230718-pos-46.mzXML	63	12_27_2018-inj-121	121	2019-01-15-inj-69.mzML	69	Sample-1D8	M	Delayed
Gibbon_3	Omnivores	Simplegut	Gibbon	Primates	Hylobates_lar	Primates_Omnivores	Ishay	24	1	2017	Feces	Sample-2A4.mzXML	49	lipids-230718-neg-47.mzXML	lipids-230718-pos-47.mzXML	36	12_26_2018-inj-35	35	2019-01-14-inj-36.mzML	36	Sample-2A4	F	0-2hr
Goat_1	Herbivores	Foregut	Goat	Artiodactyla	Capra_hircus	Artiodactyla_Herbivores	Stav+Elie	11	9	2016	Feces	Sample-1A5.mzXML	2	lipids-230718-neg-6.mzXML	lipids-230718-pos-6.mzXML	59	12_27_2018-inj-117	117	2019-01-15-inj-65.mzML	65	Sample-1A5	NA	0-2hr
Gorilla_1	Herbivores	Simplegut	Gorilla	Primates	Gorilla_gorilla	Primates_Herbivores	Ruthie	22	12	2016	Feces	Sample-2D4.mzXML	73	lipids-230718-neg-48.mzXML	lipids-230718-pos-48.mzXML	85	12_26_2018-inj-65	65	2019-01-17-inj-109.mzML	109	Sample-2D4	M	Delayed
Gorilla_2	Herbivores	Simplegut	Gorilla	Primates	Gorilla_gorilla	Primates_Herbivores	Ruthie	28	12	2016	Feces	Sample-2F8.mzXML	93	lipids-230718-neg-49.mzXML	lipids-230718-pos-49.mzXML	101	12_26_2018-inj-99	99	2019-01-21-inj-140.mzML	140	Sample-2F8	F	Delayed
Gorilla_3	Herbivores	Simplegut	Gorilla	Primates	Gorilla_gorilla	Primates_Herbivores	Ruthie	28	12	2016	Feces	Sample-1C1.mzXML	14	lipids-230718-neg-50.mzXML	lipids-230718-pos-50.mzXML	53	12_27_2018-inj-131	131	2019-01-15-inj-61.mzML	61	Sample-1C1	F	Delayed
Gorilla_4	Herbivores	Simplegut	Gorilla	Primates	Gorilla_gorilla	Primates_Herbivores	Ruthie	25	1	2017	Feces	Sample-1E5.mzXML	34	15-lipids-120918-neg-redo-51.mzXML	16-lipids-120918-pos-redo-51.mzXML	141	12_25_2018-inj-11	11	2019-01-13-inj-11.mzML	11	Sample-1E5	F	0-2hr
Gorilla_5	Herbivores	Simplegut	Gorilla	Primates	Gorilla_gorilla	Primates_Herbivores	Ruthie	25	1	2017	Feces	Sample-2B1.mzXML	54	lipids-230718-neg-52.mzXML	lipids-230718-pos-52.mzXML	119	12_27_2018-inj-110	110	2019-01-16-inj-85.mzML	85	Sample-2B1	F	0-2hr
Gorilla_6	Herbivores	Simplegut	Gorilla	Primates	Gorilla_gorilla	Primates_Herbivores	Ruthie+Ishay	1	3	2017	Feces	Sample-2D5.mzXML	74	lipids-230718-neg-53.mzXML	lipids-230718-pos-53.mzXML	89	12_26_2018-inj-56	56	2019-01-14-inj-48.mzML	48	Sample-2D5	F	0-2hr
Hyena_1	Carnivores	Simplegut	Hyena	Carnivora	Hyaena_hyaena	Carnivora_Carnivores	Stav+Ruthie	20	9	2016	Feces	Sample-1F7.mzXML	44	lipids-230718-neg-21.mzXML	lipids-230718-pos-21.mzXML	8	12_25_2018-inj-7	7	2019-01-13-inj-7.mzML	7	Sample-1F7	F	Delayed
Jungle_cat_1	Carnivores	Simplegut	Jungle_cat	Carnivora	Felis_chaus	Carnivora_Carnivores	Stav+Ruthie	20	9	2016	Feces	Sample-1F5.mzXML	42	lipids-230718-neg-08.mzXML	lipids-230718-pos-08.mzXML	81	12_26_2018-inj-61	61	2019-01-17-inj-105.mzML	105	Sample-1F5	M	0-2hr
Jungle_cat_2	Carnivores	Simplegut	Jungle_cat	Carnivora	Felis_chaus	Carnivora_Carnivores	Stav	23	9	2016	Feces	Sample-2C1.mzXML	62	lipids-230718-neg-09.mzXML	lipids-230718-pos-09.mzXML	97	12_26_2018-inj-95	95	2019-01-21-inj-136.mzML	136	Sample-2C1	M	Delayed
Lemur_1	Omnivores	Simplegut	Lemur_RR	Primates	Varecia_variegata_rubra	Primates_Omnivores	Ishay	27	12	2016	Feces	Sample-2B5.mzXML	58	lipids-230718-neg-42.mzXML	lipids-230718-pos-42.mzXML	75	12_27_2018-inj-109	109	2019-01-16-inj-84.mzML	84	Sample-2B5	M	Delayed
Lemur_2	Omnivores	Simplegut	Lemur_BWR	Primates	Varecia_variegata	Primates_Omnivores	Ishay	27	12	2016	Feces	Sample-2E1.mzXML	78	lipids-230718-neg-43.mzXML	lipids-230718-pos-43.mzXML	88	12_26_2018-inj-55	55	2019-01-14-inj-47.mzML	47	Sample-2E1	M	Delayed
Leopard_1	Carnivores	Simplegut	Leopard	Carnivora	Panthera_pardus	Carnivora_Carnivores	Stav	21	11	2016	Feces	Sample-2C5.mzXML	66	lipids-230718-neg-14.mzXML	lipids-230718-pos-14.mzXML	110	12_26_2018-inj-75	75	2019-01-21-inj-126.mzML	126	Sample-2C5	M	Delayed
Leopard_2	Carnivores	Simplegut	Leopard	Carnivora	Panthera_pardus	Carnivora_Carnivores	Stav	23	1	2017	Feces	Sample-2F1.mzXML	86	lipids-230718-neg-15.mzXML	lipids-230718-pos-15.mzXML	19	12_26_2018-inj-20	20	2019-01-13-inj-19.mzML	19	Sample-2F1	F	Delayed
Lion_1	Carnivores	Simplegut	Lion	Carnivora	Panthera_leo	Carnivora_Carnivores	Stav	29	11	2016	Feces	Sample-1B8.mzXML	13	lipids-230718-neg-16.mzXML	lipids-230718-pos-16.mzXML	60	12_27_2018-inj-118	118	2019-01-15-inj-66.mzML	66	Sample-1B8	F	0-2hr
Lion_2	Carnivores	Simplegut	Lion	Carnivora	Panthera_leo	Carnivora_Carnivores	Stav	6	12	2016	Feces	Sample-1E4.mzXML	33	lipids-230718-neg-17.mzXML	lipids-230718-pos-17.mzXML	33	12_26_2018-inj-32	32	2019-02-13-inj-238.mzML	238	Sample-1E4	F	Delayed
Lion_3	Carnivores	Simplegut	Lion	Carnivora	Panthera_leo	Carnivora_Carnivores	Ruthie	25	1	2017	Feces	Sample-2A8.mzXML	53	lipids-230718-neg-101.mzXML	lipids-230718-pos-101.mzXML	16	12_25_2018-inj-16	16	2019-01-13-inj-16.mzML	16	Sample-2A8	M	0-2hr
Mandarill_1	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	22	12	2016	Feces	Sample-X-60.mzXML	94	lipids-230718-neg-54.mzXML	lipids-230718-pos-54.mzXML	114	12_26_2018-inj-79	79	2019-01-21-inj-130.mzML	130	Sample-X-60	M	Delayed
Mandarill_2	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	22	12	2016	Feces	Sample-1C2.mzXML	15	lipids-230718-neg-55.mzXML	lipids-230718-pos-55.mzXML	23	12_26_2018-inj-24	24	2019-01-13-inj-23.mzML	23	Sample-1C2	F	Delayed
Mandarill_3	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	22	12	2016	Feces	Sample-1E6.mzXML	35	lipids-230718-neg-56.mzXML	lipids-230718-pos-56.mzXML	64	12_27_2018-inj-122	122	2019-01-15-inj-71.mzML	71	Sample-1E6	F	Delayed
Mandarill_4	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	22	12	2016	Feces	Sample-2B2.mzXML	55	lipids-230718-neg-57.mzXML	lipids-230718-pos-57.mzXML	37	12_26_2018-inj-36	36	2019-01-14-inj-37.mzML	37	Sample-2B2	M	Delayed
Mandarill_5	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	4	1	2017	Feces	Sample-2D6.mzXML	75	lipids-230718-neg-58.mzXML	lipids-230718-pos-58.mzXML	86	12_26_2018-inj-66	66	2019-02-10-inj-225.mzML	225	Sample-2D6	F	Delayed
Mandarill_6	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	4	1	2017	Feces	Sample-X-65.mzXML	95	lipids-230718-neg-59.mzXML	lipids-230718-pos-59.mzXML	102	12_26_2018-inj-100	100	2019-01-23-inj-171.mzML	171	Sample-X-65	F	Delayed
Mandarill_7	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie	4	1	2017	Feces	Sample-1C3.mzXML	16	lipids-230718-neg-60.mzXML	lipids-230718-pos-60.mzXML	54	12_27_2018-inj-132	132	2019-01-17-inj-102.mzML	102	Sample-1C3	F	Delayed
Mandarill_8	Omnivores	Simplegut	Mandrill	Primates	Mandrillus_sphinx	Primates_Omnivores	Ruthie+Ishay	2	3	2017	Feces	Sample-1E7.mzXML	36	lipids-230718-neg-61.mzXML	lipids-230718-pos-61.mzXML	12	12_25_2018-inj-12	12	2019-01-13-inj-12.mzML	12	Sample-1E7	M	Delayed
Rhino_1	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	22	11	2016	Feces	Sample-2A3.mzXML	48	lipids-230718-neg-72.mzXML	lipids-230718-pos-72.mzXML	77	12_27_2018-inj-112	112	2019-01-16-inj-87.mzML	87	Sample-2A3	F	0-2hr
Rhino_10	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	13	12	2016	Feces	Sample-1E3.mzXML	32	lipids-230718-neg-81.mzXML	lipids-230718-pos-81.mzXML	14	12_25_2018-inj-14	14	2019-01-13-inj-14.mzML	14	Sample-1E3	F	0-2hr
Rhino_11	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	13	12	2016	Feces	Sample-2A7.mzXML	52	lipids-230718-neg-82.mzXML	lipids-230718-pos-82.mzXML	78	12_27_2018-inj-113	113	2019-01-16-inj-88.mzML	88	Sample-2A7	F	0-2hr
Rhino_12	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	13	12	2016	Feces	Sample-2D3.mzXML	72	lipids-230718-neg-83.mzXML	lipids-230718-pos-83.mzXML	92	12_26_2018-inj-59	59	2019-01-14-inj-51.mzML	51	Sample-2D3	F	0-2hr
Rhino_13	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav	23	2	2017	Feces	Sample-2F7.mzXML	92	lipids-230718-neg-84.mzXML	lipids-230718-pos-84.mzXML	117	12_26_2018-inj-82	82	2019-01-21-inj-133.mzML	133	Sample-2F7	F	0-2hr
Rhino_2	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	22	11	2016	Feces	Sample-2C7.mzXML	68	lipids-230718-neg-73.mzXML	lipids-230718-pos-73.mzXML	91	12_26_2018-inj-58	58	2019-01-17-inj-100.mzML	100	Sample-2C7	F	0-2hr
Rhino_3	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	22	11	2016	Feces	Sample-2F3.mzXML	88	lipids-230718-neg-74.mzXML	lipids-230718-pos-74.mzXML	116	12_26_2018-inj-81	81	2019-01-21-inj-132.mzML	132	Sample-2F3	M	0-2hr
Rhino_4	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	22	11	2016	Feces	Sample-1B6.mzXML	11	lipids-230718-neg-75.mzXML	lipids-230718-pos-75.mzXML	25	12_26_2018-inj-26	26	2019-01-13-inj-25.mzML	25	Sample-1B6	M	0-2hr
Rhino_5	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	22	11	2016	Feces	Sample-1E2.mzXML	31	lipids-230718-neg-76.mzXML	lipids-230718-pos-76.mzXML	66	12_27_2018-inj-124	124	2019-01-15-inj-73.mzML	73	Sample-1E2	F	0-2hr
Rhino_6	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav	6	12	2016	Feces	Sample-2A6.mzXML	51	lipids-230718-neg-77.mzXML	lipids-230718-pos-77.mzXML	39	12_26_2018-inj-38	38	2019-01-28-inj-210.mzML	210	Sample-2A6	M	0-2hr
Rhino_7	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	13	12	2016	Feces	Sample-2D2.mzXML	71	lipids-230718-neg-78.mzXML	lipids-230718-pos-78.mzXML	120	12_26_2018-inj-68	68	2019-01-17-inj-112.mzML	112	Sample-2D2	M	0-2hr
Rhino_8	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	13	12	2016	Feces	Sample-2F6.mzXML	91	lipids-230718-neg-79.mzXML	lipids-230718-pos-79.mzXML	104	12_26_2018-inj-102	102	2019-01-21-inj-143.mzML	143	Sample-2F6	M	0-2hr
Rhino_9	Herbivores	Hindgut	Rhino	Perissodactyla	Ceratotherium_simum	Perissodactyla_Herbivores	Stav+Ishay	13	12	2016	Feces	Sample-1B7.mzXML	12	lipids-230718-neg-80.mzXML	lipids-230718-pos-80.mzXML	56	12_27_2018-inj-134	134	2019-01-15-inj-62.mzML	62	Sample-1B7	F	0-2hr
Sand_cat_1	Carnivores	Simplegut	Sand_cat	Carnivora	Felis_margarita	Carnivora_Carnivores	Stav+Ruthie	20	9	2016	Feces	Sample-2E5.mzXML	82	lipids-230718-neg-10.mzXML	lipids-230718-pos-10.mzXML	49	12_27_2018-inj-127	127	2019-01-14-inj-53.mzML	53	Sample-2E5	M	Delayed
Sheep_1	Herbivores	Foregut	Sheep	Artiodactyla	Ovis_aries	Artiodactyla_Herbivores	Stav+Elie	11	9	2016	Feces	Sample-1A4.mzXML	1	lipids-230718-neg-1.mzXML	lipids-230718-pos-1.mzXML	7	12_25_2018-inj-6	6	2019-01-13-inj-6.mzML	6	Sample-1A4	NA	0-2hr
Sheep_2	Herbivores	Foregut	Sheep	Artiodactyla	Ovis_aries	Artiodactyla_Herbivores	Stav+Elie	11	9	2016	Feces	Sample-1C8.mzXML	21	lipids-230718-neg-02.mzXML	lipids-230718-pos-02.mzXML	71	12_26_2018-inj-105	105	2019-01-15-inj-76.mzML	76	Sample-1C8	NA	0-2hr
Sheep_3	Herbivores	Foregut	Sheep	Artiodactyla	Ovis_aries	Artiodactyla_Herbivores	Stav	19	9	2016	Feces	Sample-1F4.mzXML	41	lipids-230718-neg-3.mzXML	lipids-230718-pos-3.mzXML	42	12_26_2018-inj-51	51	2019-01-14-inj-43.mzML	43	Sample-1F4	F	0-2hr
Sheep_4	Herbivores	Foregut	Sheep	Artiodactyla	Ovis_aries	Artiodactyla_Herbivores	Stav	19	9	2016	Feces	Sample-2B8.mzXML	61	lipids-230718-neg-04.mzXML	lipids-230718-pos-04.mzXML	109	12_26_2018-inj-74	74	2019-01-21-inj-125.mzML	125	Sample-2B8	F	0-2hr
